All calculations,POM,SDOM,CHO,TOT,TIS,MIL,ING,MOL,PAU,RIO,ZHO,PASC,DCER,SRAF,SROS,QUEV,ESM,AGOY,MSFO,SOP,PAU_M,MAZ,EGUA,CCS,MLW,JAM,COL_G,AGOY-SFRA_G,MSFO_G,SOP_G,MOL_G,MAZ_G,EGUA_G,CCS_G,MLW_G,ESM_G
"Time in s","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u."
5.781667,59.770819,59.770811,59.770847,59.770792,59.770840,59.770848,59.770832,59.770835,59.771085,59.770814,59.770842,59.770845,59.770846,59.770861,59.770813,59.770856,59.770070,59.769613,59.770997,59.770774,59.771160,59.770848,59.770876,59.771061,59.771566,59.770815,0.996146,0.996008,0.996192,0.996178,0.996176,0.996179,0.996176,0.996198,0.996240,0.996075
5.791667,59.770577,59.770572,59.770618,59.770558,59.770602,59.770623,59.770588,59.770613,59.770926,59.770585,59.770618,59.770619,59.770621,59.770606,59.770573,59.770622,59.769779,59.769301,59.770746,59.770651,59.771022,59.770635,59.770724,59.770732,59.771333,59.770573,0.996143,0.995995,0.996186,0.996187,0.996177,0.996177,0.996181,0.996189,0.996236,0.996063
5.801667,59.770338,59.770336,59.770390,59.770326,59.770368,59.770399,59.770346,59.770393,59.770767,59.770359,59.770397,59.770395,59.770398,59.770353,59.770336,59.770390,59.769495,59.769000,59.770497,59.770528,59.770882,59.770423,59.770573,59.770406,59.771098,59.770334,0.996139,0.995983,0.996181,0.996195,0.996178,0.996174,0.996186,0.996180,0.996232,0.996053
5.811667,59.770101,59.770103,59.770164,59.770097,59.770135,59.770178,59.770106,59.770174,59.770605,59.770136,59.770178,59.770173,59.770176,59.770102,59.770102,59.770160,59.769219,59.768713,59.770251,59.770406,59.770739,59.770213,59.770423,59.770083,59.770860,59.770097,0.996135,0.995973,0.996175,0.996204,0.996179,0.996171,0.996191,0.996170,0.996227,0.996042
5.821667,59.769867,59.769872,59.769941,59.769871,59.769905,59.769960,59.769870,59.769958,59.770442,59.769915,59.769961,59.769954,59.769957,59.769855,59.769870,59.769933,59.768951,59.768439,59.770007,59.770284,59.770593,59.770005,59.770274,59.769764,59.770620,59.769863,0.996132,0.995964,0.996170,0.996212,0.996179,0.996169,0.996196,0.996161,0.996222,0.996033
5.831667,59.769636,59.769645,59.769720,59.769648,59.769678,59.769743,59.769636,59.769745,59.770277,59.769697,59.769747,59.769737,59.769741,59.769611,59.769641,59.769709,59.768691,59.768179,59.769766,59.770162,59.770444,59.769799,59.770126,59.769450,59.770378,59.769632,0.996129,0.995957,0.996164,0.996220,0.996179,0.996166,0.996201,0.996153,0.996217,0.996024
5.841667,59.769408,59.769420,59.769503,59.769428,59.769455,59.769530,59.769407,59.769534,59.770110,59.769481,59.769535,59.769523,59.769527,59.769372,59.769416,59.769487,59.768440,59.767932,59.769528,59.770038,59.770291,59.769595,59.769978,59.769143,59.770135,59.769405,0.996126,0.995950,0.996159,0.996227,0.996179,0.996164,0.996206,0.996144,0.996212,0.996017
5.851667,59.769185,59.769200,59.769288,59.769212,59.769235,59.769319,59.769181,59.769326,59.769941,59.769269,59.769326,59.769312,59.769317,59.769136,59.769195,59.769269,59.768198,59.767700,59.769293,59.769913,59.770135,59.769393,59.769832,59.768843,59.769891,59.769182,0.996122,0.995946,0.996153,0.996234,0.996179,0.996161,0.996210,0.996136,0.996206,0.996010
5.861667,59.768965,59.768983,59.769077,59.769000,59.769018,59.769112,59.768959,59.769121,59.769769,59.769061,59.769120,59.769104,59.769109,59.768905,59.768978,59.769053,59.767965,59.767482,59.769063,59.769787,59.769974,59.769194,59.769686,59.768551,59.769647,59.768962,0.996119,0.995942,0.996148,0.996240,0.996178,0.996158,0.996214,0.996128,0.996200,0.996003
5.871667,59.768750,59.768771,59.768869,59.768791,59.768805,59.768907,59.768742,59.768919,59.769595,59.768855,59.768917,59.768899,59.768904,59.768679,59.768764,59.768842,59.767742,59.767279,59.768836,59.769659,59.769810,59.768997,59.769541,59.768268,59.769402,59.768747,0.996116,0.995940,0.996143,0.996245,0.996177,0.996156,0.996218,0.996120,0.996193,0.995998
5.881667,59.768539,59.768562,59.768665,59.768587,59.768597,59.768706,59.768529,59.768720,59.769419,59.768654,59.768717,59.768697,59.768703,59.768459,59.768556,59.768634,59.767528,59.767090,59.768613,59.769528,59.769641,59.768802,59.769397,59.767994,59.769157,59.768536,0.996113,0.995940,0.996138,0.996250,0.996176,0.996153,0.996222,0.996113,0.996187,0.995993
5.891667,59.768333,59.768358,59.768465,59.768387,59.768393,59.768508,59.768321,59.768525,59.769241,59.768456,59.768521,59.768500,59.768506,59.768243,59.768351,59.768430,59.767324,59.766915,59.768394,59.769395,59.769468,59.768611,59.769253,59.767730,59.768914,59.768330,0.996110,0.995940,0.996133,0.996254,0.996174,0.996150,0.996225,0.996106,0.996180,0.995990
5.901667,59.768131,59.768159,59.768268,59.768192,59.768193,59.768314,59.768118,59.768332,59.769060,59.768262,59.768328,59.768305,59.768311,59.768034,59.768151,59.768231,59.767129,59.766753,59.768180,59.769259,59.769291,59.768422,59.769110,59.767477,59.768671,59.768129,0.996107,0.995942,0.996128,0.996258,0.996172,0.996148,0.996228,0.996099,0.996173,0.995987
5.911667,59.767935,59.767964,59.768075,59.768000,59.767998,59.768124,59.767920,59.768144,59.768877,59.768072,59.768138,59.768115,59.768121,59.767830,59.767956,59.768035,59.766944,59.766606,59.767970,59.769120,59.769110,59.768235,59.768967,59.767234,59.768430,59.767932,0.996105,0.995945,0.996123,0.996260,0.996170,0.996145,0.996231,0.996093,0.996166,0.995984
5.921667,59.767743,59.767773,59.767887,59.767814,59.767807,59.767937,59.767727,59.767959,59.768692,59.767887,59.767953,59.767928,59.767934,59.767632,59.767766,59.767844,59.766769,59.766471,59.767765,59.768978,59.768925,59.768052,59.768824,59.767003,59.768190,59.767741,0.996102,0.995949,0.996119,0.996262,0.996168,0.996142,0.996234,0.996088,0.996159,0.995983
5.931667,59.767557,59.767588,59.767702,59.767632,59.767621,59.767754,59.767539,59.767777,59.768505,59.767705,59.767770,59.767745,59.767751,59.767440,59.767581,59.767657,59.766604,59.766349,59.767565,59.768832,59.768737,59.767871,59.768682,59.766783,59.767953,59.767555,0.996099,0.995954,0.996114,0.996263,0.996165,0.996139,0.996236,0.996083,0.996152,0.995982
5.941667,59.767376,59.767408,59.767522,59.767454,59.767440,59.767575,59.767357,59.767599,59.768316,59.767527,59.767592,59.767566,59.767572,59.767255,59.767400,59.767475,59.766448,59.766239,59.767369,59.768683,59.768544,59.767693,59.768540,59.766575,59.767719,59.767374,0.996096,0.995960,0.996110,0.996263,0.996161,0.996137,0.996237,0.996078,0.996145,0.995982
5.951667,59.767200,59.767232,59.767346,59.767281,59.767263,59.767400,59.767180,59.767425,59.768126,59.767354,59.767417,59.767391,59.767397,59.767076,59.767225,59.767297,59.766301,59.766140,59.767179,59.768531,59.768349,59.767519,59.768398,59.766379,59.767488,59.767198,0.996094,0.995967,0.996106,0.996262,0.996158,0.996134,0.996239,0.996074,0.996138,0.995983
5.961667,59.767029,59.767061,59.767174,59.767113,59.767092,59.767228,59.767009,59.767255,59.767934,59.767184,59.767246,59.767220,59.767226,59.766902,59.767055,59.767124,59.766163,59.766053,59.766993,59.768374,59.768150,59.767347,59.768257,59.766195,59.767261,59.767027,0.996091,0.995975,0.996102,0.996261,0.996154,0.996131,0.996240,0.996071,0.996130,0.995985
5.971667,59.766863,59.766895,59.767007,59.766949,59.766925,59.767061,59.766843,59.767088,59.767741,59.767019,59.767079,59.767053,59.767059,59.766736,59.766889,59.766955,59.766034,59.765975,59.766813,59.768214,59.767949,59.767178,59.768115,59.766023,59.767038,59.766861,0.996088,0.995984,0.996098,0.996258,0.996150,0.996128,0.996240,0.996068,0.996123,0.995987
5.981667,59.766703,59.766734,59.766844,59.766790,59.766763,59.766897,59.766682,59.766925,59.767547,59.766858,59.766916,59.766890,59.766895,59.766575,59.766729,59.766791,59.765914,59.765907,59.766637,59.768051,59.767746,59.767013,59.767974,59.765863,59.766819,59.766701,0.996086,0.995993,0.996094,0.996255,0.996146,0.996125,0.996240,0.996066,0.996116,0.995990
5.991667,59.766547,59.766578,59.766685,59.766635,59.766606,59.766737,59.766527,59.766765,59.767353,59.766701,59.766756,59.766731,59.766736,59.766420,59.766574,59.766631,59.765802,59.765847,59.766467,59.767883,59.767540,59.766850,59.767832,59.765714,59.766605,59.766545,0.996083,0.996003,0.996090,0.996250,0.996141,0.996123,0.996240,0.996064,0.996109,0.995993
6.001667,59.766397,59.766427,59.766530,59.766485,59.766453,59.766581,59.766376,59.766609,59.767158,59.766548,59.766600,59.766576,59.766580,59.766272,59.766423,59.766476,59.765698,59.765795,59.766302,59.767712,59.767333,59.766690,59.767690,59.765577,59.766395,59.766395,0.996081,0.996013,0.996087,0.996245,0.996136,0.996120,0.996239,0.996062,0.996102,0.995997
6.011667,59.766251,59.766280,59.766379,59.766339,59.766305,59.766429,59.766231,59.766457,59.766963,59.766398,59.766447,59.766425,59.766428,59.766129,59.766277,59.766325,59.765602,59.765751,59.766141,59.767538,59.767124,59.766534,59.767548,59.765450,59.766192,59.766249,0.996079,0.996024,0.996083,0.996239,0.996131,0.996117,0.996238,0.996061,0.996096,0.996002
6.021667,59.766110,59.766138,59.766233,59.766197,59.766162,59.766280,59.766091,59.766308,59.766769,59.766253,59.766298,59.766277,59.766280,59.765992,59.766136,59.766179,59.765513,59.765712,59.765986,59.767360,59.766915,59.766380,59.767406,59.765334,59.765994,59.766108,0.996076,0.996035,0.996080,0.996233,0.996126,0.996114,0.996237,0.996060,0.996089,0.996007
